Titre,image,information,templateavis,type1,information_lien
POÉSIE. OEUVRES COMPLÈTES 9,https://assets.edenlivres.fr/medias/82/30843da3b46b0aa9248e006f4c5a09d24f0d2f.jpg?h=-&w=200,"
	 Carver, Raymond (1938-1988). Auteur     Ed. de l'Olivier. Paris   | 2015 
","
		 Ce volume consacré à la poésie de R. Carver contient notamment deux recueils inédits en France. Des ...
",Littérature étrangère,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823609295/poesie-oeuvres-completes-9
MA PHILO PERSO DE A À Z,https://assets.edenlivres.fr/medias/ff/bac1ff269483b38de9d9c821eeb957f686babe.jpg?h=-&w=200,"
	 Droit, Roger-Pol (1949-....). Auteur     Seuil. Paris   | 2013 
","
		 152 entrées revisitent des thèmes tels que l'universel, la liberté, la domination, l'amour, la mort,...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782021200430/ma-philo-perso-de-a-a-z
LE GRAND NULLE PART,https://assets.edenlivres.fr/medias/5e/47a6976b310c22920ab3abcc8fb7eb86f2e864.jpg?h=-&w=200,"
	 Ellroy, James (1948-....). Auteur     Rivages. Paris   | 2015 
","
		 Trois destins parallèles de policiers, à l'aube de l'an 1950. C'est la pleine époque de la lutte con...
",Le quatuor de Los Angeles,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782743632885/le-grand-nulle-part
L'APPEL DE CTHULHU,https://assets.edenlivres.fr/medias/03/c458e401b25e573068a908ea01d04395f3c42c.jpg?h=-&w=200,"
	 Lovecraft, Howard Phillips (1890-1937). Auteur     Points. Paris   | 2015 
","
		 Après la mort étrange de son grand-oncle, l'anthropologue Francis W. Thurston découvre de mystérieux...
",Points,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782757852910/l-appel-de-cthulhu
L'APPAREIL-PHOTO,https://assets.edenlivres.fr/medias/7f/f57b681abd331cbf3b25d67b2b9673bdb17e0b.jpg?h=-&w=200,"
	 Toussaint, Jean-Philippe (1957-....). Auteur     Minuit. Paris   | 2013 
","
		 Le narrateur, Major Thompson, égaré dans un supermarché à la tombée du jour, rencontre une jeune fil...
",Double,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782707340146/l-appareil-photo
POURQUOI ÊTRE HEUREUX QUAND ON PEUT ÊTRE NORM...,https://assets.edenlivres.fr/medias/c1/0735a54dea490fdab814e0589a192d40f01021.jpg?h=-&w=200,"
	 Winterson, Jeanette (1959-....). Auteur     Ed. de l'Olivier. Paris   | 2012 
","
		 Récit autobiographique de la quête d'identité de l'auteure, et à travers elle, celle des femmes enga...
",Littérature étrangère,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823606959/pourquoi-etre-heureux-quand-on-peut-etre-normal
NOUS ÉTIONS LES HOMMES,https://assets.edenlivres.fr/medias/39/c2362b0f7f383a3bf6e998b9c94441eec130d2.jpg?h=-&w=200,"
	 Legardinier, Gilles (1965-....). Auteur     Fleuve noir. Paris   | 2011 
","
		 A Edimbourg, le docteur Kinross travaille sur la maladie d'Alzheimer. Associé à une généticienne, Je...
",Thriller,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823813661/nous-etions-les-hommes
REVUE POLAR SPÉCIAL JAMES ELLROY,https://assets.edenlivres.fr/medias/12/e263cb8f33d827c187c57040a708fa40e881a4.jpg?h=-&w=200,"
	    Rivages. Paris   | 2015 
","
		 Reprise augmentée d'un numéro de la revue Polar de 1992 consacré à James Ellroy. Réunit des nouvelle...
",Rivages-Noir,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782743633011/revue-polar-special-james-ellroy
KRAKEN,https://assets.edenlivres.fr/medias/9d/dc16f95cff3591e8709db25d232cf48e01cf12.jpg?h=-&w=200,"
	 Miéville, China (1972-....). Auteur     Fleuve noir. Paris   | 2013 
","
		 Spécialiste des céphalopodes au Musée d'histoire naturelle de Londres, Billy Harrow découvre un mati...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823840155/kraken
L'URGENCE ET LA PATIENCE,https://assets.edenlivres.fr/medias/76/071826ab28c1d3143a5ffea9cfe2ee2a716555.jpg?h=-&w=200,"
	 Toussaint, Jean-Philippe (1957-....). Auteur     Minuit. Paris   | 2015 
","
		 A travers ce recueil de textes autobiographiques, le romancier évoque les états indispensables à l'é...
",Double,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782707329066/l-urgence-et-la-patience
ORGUEIL ET PRÉJUGÉS & ZOMBIES,https://assets.edenlivres.fr/medias/91/86948d0db8cca51a8d4d7cbe9cdb30dbd6fae1.jpg?h=-&w=200,"
	 Austen, Jane (1775-1817). Auteur     Pocket. Paris   | 2014 
","
		 Le célèbre roman de Jane Austen revisité par Seth Grahame-Smith avec des milliers de morts-vivants.
",Pocket,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823819991/orgueil-et-prejuges-zombies
LES TENDRES PLAINTES,https://assets.edenlivres.fr/medias/4d/aa0c3a5f53067db778eab1d90ed72c5b4b831d.jpg?h=-&w=200,"
	 Ogawa, Yôko (1962-....). Auteur     Actes Sud. Arles (Bouches-du-Rhône)   | 2013 
","
		 Ruriko est calligraphe. Fuyant les infidélités de son mari, elle part s'installer seule en pleine mo...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782330044480/les-tendres-plaintes
COMMENT PARLER DES LIEUX OÙ L'ON N'A PAS ÉTÉ?,https://assets.edenlivres.fr/medias/2c/9099765ff5742aa46afcc0ecada6c21fa5fb37.jpg?h=-&w=200,"
	 Bayard, Pierre (1954-....). Auteur     Minuit. Paris   | 2012 
","
		 Etude des différentes manières d'évoquer des lieux sans y avoir mis les pieds, tout en rendant l'éch...
",Paradoxe,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782707340498/comment-parler-des-lieux-ou-l-on-n-a-pas-ete
LA LÉGENDE DE COLDSTONE,https://assets.edenlivres.fr/medias/95/fc2231ad389b8764e526944d90f66ce20294bc.jpg?h=-&w=200,"
	 Wentworth, Patricia (1878-1961). Auteur     10-18. Paris   | 2013 
","
		 Sur le flanc d'une colline, se dressent les vestiges d'un antique cercle de pierres. Anthony Coldsto...
",10-18,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823825060/la-legende-de-coldstone
LE PALACE,https://assets.edenlivres.fr/medias/5d/c953e5afcff38475186972a7c3c60971d6da64.jpg?h=-&w=200,"
	 Simon, Claude (1913-2005). Auteur     Minuit. Paris   | 2013 
","
		 Pendant la guerre civile espagnole, à Barcelone, au mois de juillet 1936, des volontaires internatio...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782707341686/le-palace
TIGRE EN PAPIER,https://assets.edenlivres.fr/medias/b6/94ea850df037375024b5091b25f170cef7a507.jpg?h=-&w=200,"
	 Rolin, Olivier (1947-....). Auteur     Seuil. Paris   | 2009 
","
		 Treize raconte à la fille de son ami Antoine leurs souvenirs des années 60, période où chacun croyai...
",Fiction & Cie,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782021153170/tigre-en-papier
UNE SI BELLE IMAGE. JACKIE KENNEDY (1929-1994...,https://assets.edenlivres.fr/medias/cf/72b0fb3f62892d9cf7af1d8651c17846686731.jpg?h=-&w=200,"
	 Pancol, Katherine (1954-....). Auteur     Seuil. Paris   | 2015 
","
		 La biographie de cette femme, riche, célèbre, élégante, bonne épouse et bonne mère, transformée à sa...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782021197594/une-si-belle-image-jackie-kennedy-1929-1994
LA MARCHE DE MINA,https://assets.edenlivres.fr/medias/93/c349b02a114df038125f8230dfb2e574828a08.jpg?h=-&w=200,"
	 Ogawa, Yôko (1962-....). Auteur     Actes Sud. Arles (Bouches-du-Rhône)   | 2013 
","
		 Tomoko, âgée de 11 ans, doit aller passer une année chez son oncle et sa tante. Elle se lie d'amitié...
",Lettres japonaises,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782330042653/la-marche-de-mina
L'ETHIQUE EXPLIQUÉE À TOUT LE MONDE,https://assets.edenlivres.fr/medias/2b/7f4242793739b61783b32290e7ea82c376bc44.jpg?h=-&w=200,"
	 Droit, Roger-Pol (1949-....). Auteur     Seuil. Paris   | 2014 
","
		 En revenant aux sources étymologiques du mot éthique, le philosophe propose sous la forme d'un dialo...
",Expliqué à,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782021194043/l-ethique-expliquee-a-tout-le-monde
LES DEMOISELLES DE SWAN PARK (TOME 1) - LE BÂ...,https://assets.edenlivres.fr/medias/41/cffafb3ba474cd90b726b5bff91688af9837bb.jpg?h=-&w=200,"
	 Jeffries, Sabrina (1958-....). Auteur     J'ai lu. Paris   | 2015 
","
		 Griffith Knighton pense avoir trouvé la solution parfaite pour éviter le mariage avec une des filles...
",Les demoiselles de Swan Park,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782290128688/les-demoiselles-de-swan-park-tome-1-le-batard
LE BIZARRE INCIDENT DU CHIEN PENDANT LA NUIT,https://assets.edenlivres.fr/medias/fb/c828049e026c30ec10e9d5d4f34ca8b144dd3c.jpg?h=-&w=200,"
	 Haddon, Mark (1962-....). Auteur     NIL. Paris   | 2012 
","
		 Lorsqu'il découvre le chien de sa voisine transpercé d'une fourche, Christopher, un adolescent autis...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782841117307/le-bizarre-incident-du-chien-pendant-la-nuit
VIVIANE ÉLISABETH FAUVILLE,https://assets.edenlivres.fr/medias/f0/b5001a76f838d017ac8d04825ab7468f41cedb.jpg?h=-&w=200,"
	 Deck, Julia (1974-....). Auteur     Minuit. Paris   | 2014 
","
		 Viviane Elisabeth Fauville a 42 ans, une enfant et un mari qui l'a quittée. Elle vient de tuer son p...
",Double,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782707342461/viviane-elisabeth-fauville
L.A. CONFIDENTIAL,https://assets.edenlivres.fr/medias/ae/b3ac4981ffea4179548a202da2c88e4fb846e7.jpg?h=-&w=200,"
	 Ellroy, James (1948-....). Auteur     Rivages. Paris   | 2015 
","
		 Un roman noir épique, véritable peinture de la corruption, du double jeu, des passions. Troisième vo...
",Le quatuor de Los Angeles,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782743632946/l-a-confidential
MISS ALABAMA ET SES PETITS SECRETS,https://assets.edenlivres.fr/medias/b2/866aa968cf809a9a8b5c8c87fb1f83688206b0.jpg?h=-&w=200,"
	 Flagg, Fannie (1944-....). Auteur     Cherche Midi. Paris   | 2014 
","
		 Maggie Fortenberry a pris une grande décision en s'appuyant sur seize bonnes raisons : elle va se su...
",Ailleurs,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782749146942/miss-alabama-et-ses-petits-secrets
LE VOYEUR,https://assets.edenlivres.fr/medias/dc/0ac58a491577ab6eca36fcfd9c3582dfc1822d.jpg?h=-&w=200,"
	 Robbe-Grillet, Alain (1922-2008). Auteur     Minuit. Paris   | 2013 
","
		 Mathias, un voyageur de commerce, représentant en montres, arrive sur une île dont il est originaire...
",Double,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782707342409/le-voyeur
UN BONHEUR PARFAIT,https://assets.edenlivres.fr/medias/c2/bada2c78b3f5fdba29450a66f4bef4b647fb82.jpg?h=-&w=200,"
	 Salter, James (1925-2015). Auteur     Ed. de l'Olivier. Paris   | 2013 
","
		 Nedra est belle, assurée. Viri est architecte. Il rêve d'accomplir une oeuvre qui lui survivra. Ils ...
",Littérature étrangère,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823607512/un-bonheur-parfait
À L'AVEUGLETTE,https://assets.edenlivres.fr/medias/61/fb560e70aa0e017788a55c78cb231ea3867e20.jpg?h=-&w=200,"
	 Wentworth, Patricia (1878-1961). Auteur     10-18. Paris   | 2014 
","
		 Employée dans les cuisines de Mlle Rowland, Flossie découvre dans le salon, derrière un miroir, le v...
",10-18,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823820546/a-l-aveuglette
DIX DÉCEMBRE,https://assets.edenlivres.fr/medias/dd/09148da203b5004b59ee8ec19b55feaa961668.jpg?h=-&w=200,"
	 Saunders, George (1958-....). Auteur     Ed. de l'Olivier. Paris   | 2015 
","
		 Dix nouvelles satiriques et humoristiques aux dénouements inattendus et formant une radioscopie de l...
",Littérature étrangère,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823607550/dix-decembre
NOTRE AGENT À LA HAVANE,https://assets.edenlivres.fr/medias/d3/982c3eeb2524dbed5292a16c352e50dd386859.jpg?h=-&w=200,"
	 Greene, Graham (1904-1991). Auteur     R. Laffont. Paris   | 2014 
","
		 Ce roman, écrit à la demande d'A. Cavalcanti qui voulait faire EN un film, puise dans un travail ent...
",Pavillons,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782221146941/notre-agent-a-la-havane
LA MONTAGNE DE L'ÂME,https://assets.edenlivres.fr/medias/73/fea17ddaada9080cb2cdc1d3803ddcfa6848dc.jpg?h=-&w=200,"
	 Gao, Xingjian (1940-....). Auteur     Seuil. Paris   | 2012 
","
		 La montagne de l'âme est un voyage initiatique dans la Chine des années 1980 qui mêle la tradition m...
",Opus,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782021206210/la-montagne-de-l-ame
LES FLAMBOYANTS - PRIX GONCOURT 1976,https://assets.edenlivres.fr/medias/0b/76cd53a02fbd7c9986606e589a4233b1ccaa77.jpg?h=-&w=200,"
	 Grainville, Patrick (1947-....). Auteur     Seuil. Paris   | 2014 
","
		 Prix Goncourt 1976.
",Cadre rouge,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782021169508/les-flamboyants-prix-goncourt-1976
DANS UNE CHAMBRE INCONNUE,https://assets.edenlivres.fr/medias/59/593cd66a000137d86f5387d553403f162e20d4.jpg?h=-&w=200,"
	 Galgut, Damon (1963-....). Auteur     Ed. de l'Olivier. Paris   | 2013 
","
		 L'auteur raconte trois épisodes de sa vie qui ont forgé sa personnalité. A 20 ans, il rencontre Rein...
",Littérature étrangère,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823605617/dans-une-chambre-inconnue
LA MAISON DU LOCH,https://assets.edenlivres.fr/medias/c8/c5e887fb5c720ec2f4b7d08e8d082d5502c9be.jpg?h=-&w=200,"
	 Wentworth, Patricia (1878-1961). Auteur     10-18. Paris   | 2012 
","
		 Glasgow. Un viel homme très riche, Elias Paulett, est en train de mourir. Il n'a pas de descendant d...
",10-18,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823832426/la-maison-du-loch
7 FEMMES,https://assets.edenlivres.fr/medias/ae/21b7c50a80b254b30c57cd16e11fc3c9dd9f66.jpg?h=-&w=200,"
	 Salvayre, Lydie (1948-....). Auteur     Perrin. Paris   | 2013 
","
		 L'auteure brosse le portrait de 7 femmes écrivains qui l'ont marquée par leurs oeuvres et leur parco...
",Biographies,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782262044619/7-femmes
DEMAIN,https://assets.edenlivres.fr/medias/36/84558a485cac3083498ff54e5529f63bcf3563.jpg?h=-&w=200,"
	 Dion, Cyril (1978-....). Auteur     Actes Sud. Arles (Bouches-du-Rhône)   | 2015 
","
		 Villes produisant elles-mêmes leur nourriture et leur énergie, systèmes zéro déchet, entrepreneurs e...
",Domaine du possible,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782330058968/demain
L'OCCUPATION DES SOLS,https://assets.edenlivres.fr/medias/1d/7d59784d2a6c0e9a5fc76df6d1838bdb776f13.jpg?h=-&w=200,"
	 Echenoz, Jean (1947-....). Auteur     Minuit. Paris   | 2012 
","
		 L'histoire d'un homme et de son fils dont la seule image de l'épouse et mère défunte est peinte sur ...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782707341617/l-occupation-des-sols
SAUVE QUI PEUT LA VIE - PRIX MÉDICIS ESSAI 20...,https://assets.edenlivres.fr/medias/63/70ace970cd90815925a35089619dd3fe11c611.jpg?h=-&w=200,"
	 Lapierre, Nicole (1947-....). Auteur     Seuil. Paris   | 2016 
","
		 A partir de l'histoire intime de sa famille marquée par le suicide, des drames collectifs et privés,...
",La librairie du XXIe siècle,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782021283730/sauve-qui-peut-la-vie-prix-medicis-essai-2015
L'ARC-EN-CIEL BLANC,https://assets.edenlivres.fr/medias/6c/e8fe0d84ae942c03ad822d1d8342a1ac33ed87.jpg?h=-&w=200,"
	 Yoshimura, Akira (1927-2006). Auteur     Actes Sud. Arles (Bouches-du-Rhône)   | 2012 
","
		 Quatre nouvelles écrites entre 1953 et 1964, où des enfants rencontrent amour et pauvreté dans le Ja...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782330041984/l-arc-en-ciel-blanc
TROIS FERMIERS S'EN VONT AU BAL,https://assets.edenlivres.fr/medias/54/0caf92145f4dbe85e03884387089c3c8a8f703.jpg?h=-&w=200,"
	 Powers, Richard (1957-....). Auteur     Cherche Midi. Paris   | 2014 
","
		 Detroit, à la fin du XXe siècle. Un jeune homme, fasciné par une photographie d'August Sander, repré...
",Lot 49,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782749147352/trois-fermiers-s-en-vont-au-bal
LE DILEMME DU PRISONNIER,https://assets.edenlivres.fr/medias/9a/87f9afe9268bfdab0ecf9fc529d87be80e91aa.jpg?h=-&w=200,"
	 Powers, Richard (1957-....). Auteur     Cherche Midi. Paris   | 2013 
","
		 Eddie Hobson, Ailene et leurs 4 enfants ont toujours formé un clan très soudé. Mais lorsque Eddie es...
",Lot 49,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782749146317/le-dilemme-du-prisonnier
CONVERTIES,https://assets.edenlivres.fr/medias/ec/83faf8909942e491fce5d11f9effcf78128756.jpg?h=-&w=200,"
	 Riva, Virginie (1981-....). Auteur     Seuil. Paris   | 2015 
","
		 Enquête de terrain à la rencontre de femmes converties à l'islam, l'ouvrage présente les témoignages...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782021180701/converties
PHILIDA,https://assets.edenlivres.fr/medias/53/2af4d3e28108e6c42d311f466e707d9727baf8.jpg?h=-&w=200,"
	 Brink, André (1935-2015). Auteur     Actes Sud. Arles (Bouches-du-Rhône)   | 2014 
","
		 Au début du XIXe siècle, Philida est une esclave, mère de quatre enfants, dont le père est le fils d...
",Lettres africaines,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782330045395/philida
À TOI,https://assets.edenlivres.fr/medias/50/8a91d4976194cb2b7fcdca946838395fc5141c.jpg?h=-&w=200,"
	 Pineiro, Claudia (1960-....). Auteur     Actes Sud. Arles (Bouches-du-Rhône)   | 2015 
","
		 En cherchant un stylo dans l'attaché-case de son mari, une femme trouve un coeur dessiné au rouge à ...
",Lettres latino-américaines,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782330052119/a-toi
MON AMÉRIQUE,https://assets.edenlivres.fr/medias/49/9b31948b2446a587a436a73f8c634a26692bf0.jpg?h=-&w=200,"
	 Fergus, Jim (1950-....). Auteur     Cherche Midi. Paris   | 2013 
","
		 Classés par saisons, les textes réunis racontent six années de pérégrinations à travers les Etats-Un...
",Documents,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782749146959/mon-amerique
WHITE JAZZ,https://assets.edenlivres.fr/medias/37/e0f378f7d8be30e8472e465d226678b4750276.jpg?h=-&w=200,"
	 Ellroy, James (1948-....). Auteur     Rivages. Paris   | 2015 
","
		 La conclusion fracassante du quatuor de Los Angeles, dont les trois premiers volets sont Le Dahlia n...
",Le quatuor de Los Angeles,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782743632915/white-jazz
LA JALOUSIE,https://assets.edenlivres.fr/medias/02/46bd6cdb377cabd1b916efbb5bf091e089c450.jpg?h=-&w=200,"
	 Robbe-Grillet, Alain (1922-2008). Auteur     Minuit. Paris   | 2012 
","
		 Une intrigue basée sur le schéma du triangle amoureux mettant en scène un mari trompé, son épouse et...
",Double,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782707341211/la-jalousie
MINE DE RIEN,https://assets.edenlivres.fr/medias/aa/601eaa47f1e818867f72cdc3985161e920ca6f.jpg?h=-&w=200,"
	 Wentworth, Patricia (1878-1961). Auteur     10-18. Paris   | 2012 
","
		 Le testament d'Ambrose Weare est clair : son petit-fils Jervis héritera de tous ses biens s'il épous...
",10-18,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823830538/mine-de-rien
LES OISEAUX SE CACHENT POUR MOURIR,https://assets.edenlivres.fr/medias/b4/6cd61672acff271501754a41dd66f2b64dabec.jpg?h=-&w=200,"
	 McCullough, Colleen (1937-2015). Auteur     Pocket. Paris   | 2013 
","
		 Meggie n'a que 9 ans lorsqu'elle rencontre pour la première fois l'homme qui va marquer son destin à...
",Pocket,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823834833/les-oiseaux-se-cachent-pour-mourir
LE TEMPS DES DÉRACINÉS,https://assets.edenlivres.fr/medias/92/bfd413a64cc29e146172f83c35cc7da4cc73a3.jpg?h=-&w=200,"
	 Wiesel, Elie (1928-2016). Auteur     Seuil. Paris   | 2014 
","
		 Pour échapper aux fascistes hongrois, Gamliel Friedman est séparé de ses parents et confié à Llonka,...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782021184426/le-temps-des-deracines
L'UNIVERS EXPLIQUÉ À MES PETITS-ENFANTS,https://assets.edenlivres.fr/medias/ac/ce7afe539abc338a5d114763a02309ea9c1d0f.jpg?h=-&w=200,"
	 Reeves, Hubert (1932-2023). Auteur     Seuil. Paris   | 2011 
","
		 A travers une suite de conversations avec une de ses petites-filles, l'astrophysicien livre les déco...
",Expliqué à,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782021150759/l-univers-explique-a-mes-petits-enfants
EN ATTENDANT GODOT,https://assets.edenlivres.fr/medias/61/919a7a0b9bc2a88e0a3a96512060ca89def7c1.jpg?h=-&w=200,"
	 Beckett, Samuel (1906-1989). Auteur     Minuit. Paris   | 2014 
","
		 Deux vagabonds, Vladimir et Estragon, se retrouvent sur une route de campagne, près d'un arbre, à la...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782707340849/en-attendant-godot
UNE VIE À BRÛLER,https://assets.edenlivres.fr/medias/88/e965ed896ebf01bb8d12be1e47faf8e8c595e6.jpg?h=-&w=200,"
	 Salter, James (1925-2015). Auteur     Ed. de l'Olivier. Paris   | 2013 
","
		 J. Salter raconte son enfance à New York dans les années 1930, la guerre du Pacifique et ses mission...
",Littérature étrangère,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823607529/une-vie-a-bruler
CRISTALLISATION SECRÈTE,https://assets.edenlivres.fr/medias/b4/9700b41f1f154a77415320d9ef0dd03bf35159.jpg?h=-&w=200,"
	 Ogawa, Yôko (1962-....). Auteur     Actes Sud. Arles (Bouches-du-Rhône)   | 2013 
","
		 Sur l'île où vit une jeune femme romancière, des choses, des personnes, des émotions s'effacent. Les...
",Lettres japonaises,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782330040918/cristallisation-secrete
LES LECTURES DES OTAGES,https://assets.edenlivres.fr/medias/53/596fa24d20e6401b9f6b279ab5f7726fbf8e01.jpg?h=-&w=200,"
	 Ogawa, Yôko (1962-....). Auteur     Actes Sud. Arles (Bouches-du-Rhône)   | 2012 
","
		 Une cabane où sont retenus prisonniers huit touristes japonais est détruite par l'assaut d'une briga...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782330044312/les-lectures-des-otages
"LES ENQUÊTES DE M. DE MORTAGNE, BOURREAU (TOM...",https://assets.edenlivres.fr/medias/7d/5ef514a5c9a1c74e8b91d7e97b985bbe42d1e1.jpg?h=-&w=200,"
	 Japp, Andrea H. (1955-....). Auteur     Flammarion. Paris   | 2011 
","
		 Début du XIVe siècle, en France. Les Venelle sont une famille de bourreaux officiant à Mortagne. Har...
","Les enquêtes de M. de Mortagne, bourreau",https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782081321878/les-enquetes-de-m-de-mortagne-bourreau-tome-1-le-brasier-de-justice
LA MALÉDICTION DE GABRIELLE (TOME 1) - LE FLÉ...,https://assets.edenlivres.fr/medias/88/16a526b02e399b4889a81c9de3d228464110e5.jpg?h=-&w=200,"
	 Japp, Andrea H. (1955-....). Auteur     Flammarion. Paris   | 2015 
","
		 1348, Paris. Gabrielle d'Aurillay, 20 ans, mariée et enceinte, apprend que son mari est un joueur, t...
",Le fléau de Dieu,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782081382039/la-malediction-de-gabrielle-tome-1-le-fleau-de-dieu
MANIFESTATION DE NOTRE DÉSINTÉRÊT,https://assets.edenlivres.fr/medias/1c/2bed1ca12ad74ceba2012b141663bebf8cfa99.jpg?h=-&w=200,"
	 Rouaud, Jean (1952-....). Auteur     Climats. Paris   | 2013 
","
		 Manifeste poético-politique contre la dictature du progrès et des marchés.
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782081326033/manifestation-de-notre-desinteret
FRISSONS D'ASSISES. L'INSTANT OÙ LE PROCÈS BA...,https://assets.edenlivres.fr/medias/8d/a7cc79dab4bec677be61f919ffc9b0c087a8f9.jpg?h=-&w=200,"
	 Durand-Souffland, Stéphane (1963-....). Auteur     Denoël. Paris   | 2013 
","
		 Tous les grands procès d'assises connaissent un point de bascule, un moment précis qui résume l'audi...
",Impacts,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782207120248/frissons-d-assises-l-instant-ou-le-proces-bascule
SI TU EXISTES AILLEURS,https://assets.edenlivres.fr/medias/42/b285e6a505c48dca88d48dbe0d6a154a1d05eb.jpg?h=-&w=200,"
	 Cohen, Thierry (1962-....). Auteur     Flammarion. Paris   | 2012 
","
		 Anna, une petite fille de 3 ans, révèle à son oncle Noam Beaumont qu'il mourra du coeur en même temp...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782081329195/si-tu-existes-ailleurs
"BOIRE SANS GROSSIR, SANS EXCÈS… ET SANS NUIRE...",https://assets.edenlivres.fr/medias/78/3ccac496fc70d4dd6da043d120f5a368c27e5c.jpg?h=-&w=200,"
	 Gasparotto, Laure (1971-....). Auteur     Flammarion. Paris   | 2014 
","
		 Une enquête menée auprès de nutritionnistes, de vignerons et de médecins, qui affirment que consomme...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782081346765/boire-sans-grossir-sans-exces-et-sans-nuire-a-sa-sante
LA BRÈVE HISTOIRE DE MA VIE,https://assets.edenlivres.fr/medias/ed/27f37e25483fb3399d7833b2dd06907bc4bf0f.jpg?h=-&w=200,"
	 Hawking, Stephen (1942-2018). Auteur     Flammarion. Paris   | 2013 
","
		 L'astrophysicien raconte sa vie à travers un texte écrit avec flegme et humour. Il relate notamment ...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782081341029/la-breve-histoire-de-ma-vie
LES LISIÈRES,https://assets.edenlivres.fr/medias/32/13bc6731e19600808b723c1a53242b77836666.jpg?h=-&w=200,"
	 Adam, Olivier (1974-....). Auteur     Flammarion. Paris   | 2012 
","
		 L'écrivain et scénariste Paul Steiner laisse ses enfants chez son ex-femme pour aller s'occuper de s...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782081316904/les-lisieres
INTRIGUE DU MARIAGE DE M. LE DUC DE BERRY,https://assets.edenlivres.fr/medias/6c/8cbdce10ec5c106394cd5cff112706b341964d.jpg?h=-&w=200,"
	 Saint-Simon, Louis de Rouvroy duc de (1675-1755). Auteur     Flammarion. Paris   | 2011 
","
		 Au sein de ses Mémoires, Saint-Simon offre ce récit autonome daté de 1710 relatant ses propres manoe...
",GF,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782081317598/intrigue-du-mariage-de-m-le-duc-de-berry
